game_id,game_date_est,game_sequence
24600003,1946-11-02 00:00:00,
24600002,1946-11-02 00:00:00,
24600004,1946-11-02 00:00:00,
24600005,1946-11-02 00:00:00,
24600006,1946-11-03 00:00:00,
24600007,1946-11-04 00:00:00,
24600008,1946-11-05 00:00:00,
24600009,1946-11-05 00:00:00,
24600011,1946-11-07 00:00:00,
24600012,1946-11-07 00:00:00,
24600010,1946-11-07 00:00:00,
24600013,1946-11-08 00:00:00,
24600014,1946-11-09 00:00:00,
24600015,1946-11-09 00:00:00,
24600016,1946-11-09 00:00:00,
24600017,1946-11-09 00:00:00,
24600018,1946-11-10 00:00:00,
24600020,1946-11-11 00:00:00,
24600019,1946-11-11 00:00:00,
24600022,1946-11-13 00:00:00,
24600021,1946-11-13 00:00:00,
24600025,1946-11-15 00:00:00,
24600027,1946-11-16 00:00:00,
24600029,1946-11-16 00:00:00,
24600030,1946-11-16 00:00:00,
24600028,1946-11-16 00:00:00,
24600031,1946-11-17 00:00:00,
24600032,1946-11-18 00:00:00,
24600033,1946-11-18 00:00:00,
24600034,1946-11-19 00:00:00,
24600035,1946-11-19 00:00:00,
24600038,1946-11-20 00:00:00,
24600037,1946-11-20 00:00:00,
24600036,1946-11-20 00:00:00,
24600041,1946-11-21 00:00:00,
24600039,1946-11-21 00:00:00,
24600040,1946-11-21 00:00:00,
24600046,1946-11-23 00:00:00,
24600045,1946-11-23 00:00:00,
24600048,1946-11-24 00:00:00,
24600047,1946-11-24 00:00:00,
24600049,1946-11-25 00:00:00,
24600050,1946-11-25 00:00:00,
24600053,1946-11-26 00:00:00,
24600052,1946-11-26 00:00:00,
24600051,1946-11-26 00:00:00,
24600054,1946-11-27 00:00:00,
24600055,1946-11-27 00:00:00,
24600056,1946-11-27 00:00:00,
24600057,1946-11-28 00:00:00,
24600059,1946-11-28 00:00:00,
24600060,1946-11-28 00:00:00,
24600061,1946-11-29 00:00:00,
24600063,1946-11-30 00:00:00,
24600065,1946-11-30 00:00:00,
24600062,1946-11-30 00:00:00,
24600066,1946-12-01 00:00:00,
24600067,1946-12-01 00:00:00,
24600068,1946-12-02 00:00:00,
24600069,1946-12-03 00:00:00,
24600070,1946-12-04 00:00:00,
24600071,1946-12-04 00:00:00,
24600072,1946-12-04 00:00:00,
24600075,1946-12-05 00:00:00,
24600074,1946-12-05 00:00:00,
24600073,1946-12-05 00:00:00,
24600076,1946-12-05 00:00:00,
24600077,1946-12-07 00:00:00,
24600080,1946-12-07 00:00:00,
24600081,1946-12-07 00:00:00,
24600078,1946-12-07 00:00:00,
24600079,1946-12-07 00:00:00,
24600083,1946-12-08 00:00:00,
24600082,1946-12-08 00:00:00,
24600084,1946-12-09 00:00:00,
24600085,1946-12-10 00:00:00,
24600088,1946-12-11 00:00:00,
24600089,1946-12-11 00:00:00,
24600091,1946-12-12 00:00:00,
24600092,1946-12-12 00:00:00,
24600090,1946-12-12 00:00:00,
24600093,1946-12-13 00:00:00,
24600096,1946-12-14 00:00:00,
24600094,1946-12-14 00:00:00,
24600095,1946-12-14 00:00:00,
24600099,1946-12-15 00:00:00,
24600098,1946-12-15 00:00:00,
24600100,1946-12-16 00:00:00,
24600102,1946-12-17 00:00:00,
24600103,1946-12-18 00:00:00,
24600104,1946-12-18 00:00:00,
24600107,1946-12-19 00:00:00,
24600106,1946-12-19 00:00:00,
24600105,1946-12-19 00:00:00,
24600108,1946-12-20 00:00:00,
24600109,1946-12-21 00:00:00,
24600110,1946-12-21 00:00:00,
24600111,1946-12-22 00:00:00,
24600112,1946-12-22 00:00:00,
24600113,1946-12-22 00:00:00,
24600114,1946-12-23 00:00:00,
24600115,1946-12-26 00:00:00,
24600116,1946-12-26 00:00:00,
24600117,1946-12-26 00:00:00,
24600118,1946-12-27 00:00:00,
24600119,1946-12-27 00:00:00,
24600121,1946-12-28 00:00:00,
24600120,1946-12-28 00:00:00,
24600124,1946-12-29 00:00:00,
24600123,1946-12-29 00:00:00,
24600125,1946-12-30 00:00:00,
24600128,1946-12-31 00:00:00,
24600127,1946-12-31 00:00:00,
24600131,1947-01-01 00:00:00,
24600130,1947-01-01 00:00:00,
24600129,1947-01-01 00:00:00,
24600132,1947-01-02 00:00:00,
24600133,1947-01-02 00:00:00,
24600134,1947-01-03 00:00:00,
24600137,1947-01-04 00:00:00,
24600136,1947-01-04 00:00:00,
24600135,1947-01-04 00:00:00,
24600138,1947-01-05 00:00:00,
24600141,1947-01-06 00:00:00,
24600140,1947-01-06 00:00:00,
24600139,1947-01-06 00:00:00,
24600143,1947-01-08 00:00:00,
24600144,1947-01-08 00:00:00,
24600145,1947-01-08 00:00:00,
24600142,1947-01-08 00:00:00,
24600148,1947-01-09 00:00:00,
24600147,1947-01-09 00:00:00,
24600146,1947-01-09 00:00:00,
24600149,1947-01-10 00:00:00,
24600150,1947-01-11 00:00:00,
